Hour,Temperature,Load
19,80.88,1749156
20,79.92,1639214
21,78.52,1586799
22,77.76,1512652
23,76.32,1349632
24,76.16,1165850
01,75.84,1012417
02,74.92,918333
03,74.44,863223
04,74.36,829998
05,74.16,826530
06,74.12,880370
07,74.04,985889
08,75.6,1040585
09,79.04,1149804
10,82.16,1323975
11,84.56,1521742
12,86.68,1719575
13,87.8,1869853
14,88.88,1983341
15,87.84,2059759
16,87.72,2113568
17,87.68,2153224
18,85.68,2175548
19,84.16,2098336
20,81.4,1880820
21,78.92,1771070
22,77.68,1659833
23,76.08,1454785
24,75.48,1247320
01,74.96,1075564
02,74.44,966335
03,73.68,902085
04,73.24,855977
05,73.04,844495
06,72.8,895962
07,72.64,987639
08,74.48,1032057
09,78.52,1124111
10,82.6,1281254
11,85.24,1485500
12,86.96,1688232
13,87.56,1857529
14,88.32,1968267
15,88.4,2047984
16,89,2102787
17,89.36,2139520
18,87.44,2145173
19,85.52,2097976
20,83.28,1977654
21,80.76,1878935
22,78.52,1769841
23,77.48,1551262
24,76.68,1326472
01,76.36,1150148
02,75.44,1034870
03,74.68,971747
04,74.28,922928
05,73.92,905216
06,73.44,942278
07,73.36,1037435
08,75.24,1072001
09,79.2,1152632
10,82.64,1311260
11,84.68,1504986
12,86.6,1675058
13,88.04,1817805
14,88.48,1919707
15,89.28,1996842
16,88.88,2063902
17,88.96,2135782
18,88.56,2174144
19,87.64,2149800
20,84.68,2026738
21,82.36,1920844
22,81.24,1821325
23,79.84,1615309
24,79.08,1399206
01,78.76,1230510
02,78.12,1122019
03,77.36,1058030
04,77.12,1018838
05,76.56,1008913
06,76.48,1051242
07,76.28,1151800
08,77,1181021
09,79.16,1221827
10,81.28,1297238
11,83.4,1410730
12,85.16,1544833
13,86.96,1703323
14,87.8,1821939
15,86.28,1846250
16,84.96,1844822
17,82.6,1855823
18,81.44,1855693
19,80.24,1808405
20,78.8,1709540
21,77.84,1648389
22,76.28,1559506
23,75.68,1389444
24,75.2,1213523
01,74.68,1062343
02,74.2,970413
03,73.68,913567
04,73.48,885774
05,73.24,878904
06,73.24,920648
07,72.88,1022849
08,74.08,1064129
09,76.68,1125820
10,79.4,1230868
11,81.12,1347765
12,82.6,1489493
13,83.32,1633100
14,83.32,1746853
15,83.4,1813703
16,81.56,1797664
17,79.96,1753202
18,79.6,1717268
19,79.32,1656794
20,78,1562975
21,77.08,1513816
22,76.28,1454703
23,75.56,1327333
24,75.16,1180779
01,74.76,1037254
02,74,948135
03,74,885461
04,73.96,850393
05,73.68,834511
06,73.6,847045
07,73.28,885656
08,74.52,946799
09,77.28,1102048
10,80.32,1287405
11,82.36,1448154
12,83.44,1562494
13,84.44,1621574
14,84.12,1634069
15,83.04,1609275
16,82.04,1593061
17,80.72,1606909
18,80.08,1624037
19,79.52,1586661
20,78.16,1518851
21,77.2,1480019
22,76.16,1434677
23,75.44,1305398
24,75.2,1164830
01,74.76,1022681
02,74.64,931172
03,74.16,871176
04,73.8,833854
05,73.68,816048
06,73.48,822262
07,73.32,852171
08,74.48,921906
09,77.16,1102361
10,80.24,1300454
11,83.08,1474963
12,85.28,1652486
13,86.56,1818326
14,86.8,1941423
15,87.16,1989459
16,85.32,1925732
17,83.48,1861021
18,82.12,1819234
19,80.8,1743399
20,79.76,1655979
21,78.28,1613956
22,76.2,1538468
23,75.68,1369553
24,75,1181692
01,74.64,1016927
02,74.2,925422
03,73.84,868151
04,73.32,838016
05,73.36,827369
06,73,878967
07,72.52,988911
08,74,1033306
09,77.4,1123464
10,81.16,1280281
11,84.36,1478129
12,87.04,1687714
13,88.52,1868291
14,89.84,2006807
15,89.6,2005983
16,88.52,2019031
17,88.16,2011446
18,87.24,2004616
19,85.44,2030481
20,83.2,1958853
21,80.76,1886094
22,78.88,1774100
23,78.2,1560976
24,77.76,1341573
01,77.32,1167673
02,76.48,1062395
03,76,1000976
04,75.52,960174
05,75.44,953775
06,75.08,997578
07,75.04,1097802
08,76.32,1136708
09,79.44,1229151
10,83.12,1389552
11,85.84,1578507
12,88.6,1776961
13,89.8,1950402
14,90.96,2080130
15,91.6,2112305
16,91.96,2138150
17,91.96,2182156
18,91.2,2199752
19,89.48,2169911
20,86.84,2153336
21,84.24,2068152
22,82.68,1944188
23,81.12,1715078
24,80.56,1487064
01,79.56,1310298
02,78.96,1207008
03,78.56,1154292
04,78.28,1124846
05,78.2,1117858
06,77.6,1164905
07,77.48,1271508
08,78.12,1292979
09,79.08,1316817
10,81.16,1400071
11,83.04,1519996
12,84.12,1622728
13,84.76,1726843
14,84.04,1783621
15,83.92,1780578
16,83.2,1783622
17,83.28,1798514
18,82.92,1820481
19,81.8,1808698
20,80.44,1729431
21,78.76,1686070
22,77.72,1591798
23,76.88,1398536
24,75.64,1195590
01,75.04,1028015
02,74.24,918592
03,72.92,853308
04,72.32,812082
05,71.44,795862
06,70.84,845543
07,70.44,964235
08,72.12,989876
09,76.28,1041267
10,80.24,1167096
11,82.32,1325400
12,84.04,1480949
13,85.16,1631155
14,85.88,1751326
15,86.44,1848575
16,86.36,1930221
17,85.84,1989244
18,85.16,2008068
19,83.96,1950713
20,81.16,1806530
21,78.16,1697099
22,76.2,1585944
23,74.6,1354420
24,73.6,1128910
01,72.36,951635
02,71.64,844056
03,70.92,783620
04,70.12,746558
05,69.28,743878
06,68.96,802607
07,68.4,930048
08,70.84,962113
09,75.2,1014856
10,79.96,1139848
11,82.28,1299607
12,83.76,1451436
13,84.96,1578705
14,85.48,1670699
15,85.8,1732433
16,85.68,1780549
17,84.84,1810380
18,83.4,1794067
19,81.36,1717877
20,79.68,1598276
21,77.84,1532314
22,76.48,1464451
23,75.72,1316213
24,75.08,1162516
01,74.36,1011518
02,73.96,916120
03,72.88,853525
04,72.4,813941
05,72.12,788613
06,71.44,793880
07,70.84,826017
08,73.2,879678
09,77.04,1053448
10,81,1262112
11,82.64,1456714
12,84.32,1623650
13,85.68,1756511
14,86.2,1863621
15,87.36,1928482
16,86.96,1973185
17,85.68,1986251
18,84.96,1961652
19,83.44,1884624
20,81.72,1751055
21,79.88,1658703
22,78.2,1561131
23,76.8,1384408
24,75.8,1202358
01,75.12,1036284
02,74.36,926113
03,73.24,855907
04,72.56,815145
05,72.16,786979
06,72.04,784667
07,71.88,806041
08,73.64,861569
09,76.8,1039089
10,80.56,1252028
11,82.32,1454343
12,83.8,1619531
13,85.08,1771583
14,86,1889572
15,86.56,1964686
16,85.36,2003295
17,84.48,2024983
18,83.72,2020069
19,82.76,1939690
20,81.04,1834219
21,79.08,1772917
22,77.96,1654378
23,76.48,1430774
24,76.16,1214074
01,75.8,1044374
02,75.08,947252
03,74.24,893057
04,74.12,863150
05,73.76,864462
06,73.48,936903
07,72.96,1091964
08,74.16,1119840
09,76.52,1138245
10,79.2,1216030
11,81.56,1339900
12,82.68,1475997
13,84.36,1606290
14,84.48,1678074
15,83.68,1690402
16,83.36,1667473
17,82.08,1636489
18,81.28,1641715
19,80.56,1624010
20,79.44,1581377
21,78.2,1563171
22,76.84,1476318
23,75.92,1301155
24,75.56,1124713
01,75.08,984765
02,74.96,907136
03,74.64,871714
04,74.56,848889
05,74.44,856659
06,74.24,936267
07,74.2,1095349
08,74.84,1118511
09,76.48,1133253
10,79.2,1199441
11,81.96,1313457
12,83.36,1455969
13,84.44,1609493
14,83.64,1701413
15,81.96,1715405
16,81.96,1715825
17,81.24,1700936
18,80.08,1681623
19,78.88,1652648
20,77.72,1583317
21,76.6,1558694
22,75.76,1465376
23,75.28,1284437
24,74.8,1102347
01,74.48,960541
02,74,882573
03,73.64,838567
04,73.44,811633
05,73.24,810831
06,72.88,881768
07,72.48,1041636
08,74.2,1061347
09,77.72,1099072
10,81.32,1238651
11,83.84,1419476
12,85.64,1610215
13,87.04,1782514
14,88.08,1910794
15,88.16,1979071
16,87.32,2017747
17,85.68,2026039
18,83.24,1975505
19,81.64,1892476
20,80.6,1768014
21,79,1723586
22,78.32,1605845
23,77.52,1399370
24,76.64,1198697
01,76.28,1045557
02,75.88,955882
03,75.32,904406
04,75.08,877277
05,74.92,873640
06,74.92,943701
07,74.92,1102210
08,75.8,1128179
09,79.12,1175309
10,82.52,1314677
11,84.72,1495889
12,86.56,1664052
13,86.24,1784516
14,85.88,1836523
15,84.24,1816458
16,83.04,1689062
17,82.36,1579991
18,81.88,1614696
19,80.68,1603088
20,79.36,1549772
21,78.48,1548473
22,77.92,1477038
23,77.44,1303153
24,77.2,1126500
01,76.88,988384
02,76.64,912892
03,76.2,869306
04,75.92,850174
05,75.96,850771
06,75.96,928926
07,76.12,1097798
08,77,1133066
09,79.96,1193331
10,83.2,1337991
11,85.28,1509445
12,87.28,1683339
13,88.36,1830298
14,89.2,1942292
15,89.92,2021774
16,88.56,2081843
17,87.56,2084320
18,86.92,2075560
19,85.6,2016370
20,83.68,1884830
21,81.64,1807384
22,80.6,1687517
23,79.4,1519783
24,78.56,1342218
01,77.88,1183329
02,77.64,1076940
03,77.12,1014611
04,76.64,960450
05,76.44,945619
06,76.2,944986
07,75.72,983832
08,77.28,1047012
09,80.56,1234226
10,83.56,1466833
11,85.88,1675988
12,87.36,1858630
13,88.36,2009653
14,88.84,2105958
15,88.56,2142969
16,87.32,2146141
17,85.4,2141226
18,84.28,2081993
19,81.92,1931291
20,80.96,1788459
21,79.04,1696236
22,77.8,1570750
23,77,1412323
24,76.12,1246185
01,75.28,1091898
02,74.6,988830
03,74.52,914310
04,73.96,867193
05,73.8,841874
06,73.64,838738
07,73.52,864876
08,74.48,924537
09,77.84,1116297
10,82.08,1337423
11,84.6,1536482
12,86.56,1733538
13,87.72,1925796
14,88.36,2064456
15,88.92,2128794
16,88.08,2133419
17,87.04,2123750
18,85.72,2050306
19,83.88,1937357
20,81.6,1843234
21,79.84,1805806
22,78.92,1678695
23,77.76,1462558
24,77.16,1258517
01,76.76,1100124
02,76.32,1010424
03,76.04,948598
04,75.12,913510
05,74.72,906670
06,74.8,974367
07,74.56,1129577
08,75.08,1152430
09,79.04,1205767
10,82.56,1359691
11,85.32,1555155
12,87.48,1737831
13,88.12,1856388
14,87.76,1882824
15,86.68,1852956
16,86.52,1809238
17,84.56,1795284
18,82.24,1816794
19,81,1811349
20,79.6,1766618
21,78.32,1734258
22,77.4,1599925
23,76.08,1394235
24,75.88,1201524
01,75.52,1049220
02,75.16,968180
03,75.16,918549
04,74.8,893406
05,74.76,893184
06,74.4,960050
07,73.96,1121848
08,74.8,1143678
09,76.8,1149794
10,79.6,1224975
11,81.84,1319283
12,83.84,1436722
13,85.08,1563345
14,84.56,1640827
15,83.2,1662682
16,82.84,1685039
17,82.64,1726317
18,81.96,1767179
19,80.48,1767071
20,79.2,1713397
21,77.76,1698232
22,76.6,1578616
23,75.96,1377868
24,75.04,1173696
01,75,1027239
02,74.16,938116
03,73.8,887034
04,73.16,858498
05,73,854746
06,72.6,922688
07,72.24,1078743
08,73.84,1101820
09,77.36,1138725
10,81.28,1266173
11,83.64,1433423
12,85.24,1614001
13,87.28,1791039
14,88.08,1934759
15,88.44,2030465
16,87.76,2100145
17,86.32,2097223
18,85.68,2155268
19,83.4,2104861
20,81,1958811
21,79.48,1872606
22,78.16,1709401
23,77.24,1471463
24,76.36,1246982
01,75.76,1076821
02,75.36,977184
03,74.72,909288
04,73.88,874993
05,73.76,867995
06,73.4,930293
07,73.04,1085467
08,74.76,1102476
09,78.76,1150464
10,82.44,1294064
11,84.88,1471284
12,86.2,1658989
13,87.24,1827730
14,88.48,1958055
15,88.64,2050533
16,89.12,2109011
17,87.24,2138667
18,85.64,2140165
19,84.16,2081390
20,82.2,1967647
21,80.04,1907129
22,79.24,1763230
23,78.24,1529023
24,76.8,1297202
01,76.16,1120112
02,75.28,1013674
03,74.52,950587
04,74.36,909923
05,73.72,892175
06,73.28,948537
07,72.84,1095879
08,74.64,1125003
09,78.48,1175395
10,82.56,1318645
11,84.64,1494384
12,86.32,1669787
13,87.64,1825918
14,89,1959088
15,89.84,2060376
16,90.12,2142450
17,90.08,2184362
18,89.24,2183644
19,87.64,2139790
20,84.32,2003818
21,82,1914103
22,80.52,1770284
23,78.96,1573909
24,78.04,1381532
01,77.68,1212358
02,76.44,1093047
03,76.12,1011080
04,75.44,959343
05,75.12,929633
06,74.32,924062
07,73.8,956678
08,74.92,1009061
09,78.88,1180992
10,82.28,1406463
11,85,1624363
12,87.56,1821991
13,89,1983651
14,90.08,2099550
15,90.88,2158462
16,91.36,2194809
17,91.36,2237262
18,90.32,2234973
19,89,2194206
20,85.68,2098752
21,83.44,1988350
22,81.76,1826572
23,80.24,1631298
24,79,1440271
01,77.92,1266662
02,77.16,1141983
03,76.28,1058244
04,75.52,998146
05,75.12,957635
06,74.6,945510
07,74.12,963182
08,75.12,1011816
09,78.72,1186659
10,82.84,1419586
11,85.56,1641528
12,88.04,1839503
13,89.68,2025241
14,90.68,2167728
15,91.32,2232636
16,91.36,2250921
17,91.24,2287313
18,89.6,2271637
19,87.04,2220212
20,84.12,2110776
21,81.68,2030969
22,80.48,1851100
23,78.72,1608548
24,77.6,1380324
01,76.64,1207630
02,76.32,1095429
03,75.72,1022526
04,75.4,977000
05,75,963951
06,74.92,1020613
07,74.72,1174865
08,75.4,1192777
09,78.04,1216097
10,81.2,1365020
11,84.08,1558831
12,85.68,1727726
13,86.92,1862716
14,85.96,1955414
15,84.68,2005911
16,86.36,2016841
17,85.72,2007890
18,83.68,1997540
19,82.32,1955300
20,81.2,1880496
21,79.24,1852169
22,78.28,1695884
23,77.52,1472780
24,77,1266275
01,76.72,1114242
02,76.44,1027166
03,76,977015
04,75.6,944706
05,75.48,939783
06,75.16,1005969
07,74.76,1170650
08,75.04,1193045
09,76.72,1185509
10,78.64,1229179
11,80.04,1303676
12,81.68,1399027
13,83.68,1513367
14,84,1585001
15,84.28,1632959
16,84.4,1680840
17,84.4,1748878
18,82.84,1788720
19,81.6,1768262
20,79.84,1708601
21,77.56,1693961
22,76.64,1554928
23,76.2,1362249
24,75.68,1167526
01,75.2,1024369
02,74.56,944914
03,74.12,895852
04,74,875095
05,73.76,873877
06,73.48,940644
07,73,1107562
08,73.68,1128041
09,76.08,1137476
10,79.4,1229770
11,81.88,1361669
12,83.04,1500277
13,84.2,1600905
14,84.28,1699555
15,84.12,1783068
16,83.48,1848682
17,83.32,1878876
18,82.64,1900575
19,80.32,1879454
20,78.64,1792437
21,76.76,1754084
22,76.36,1617733
23,75.56,1412444
24,75.12,1202020
01,74.56,1043343
02,74.48,957961
03,74.04,904249
04,73.64,872984
05,73.36,870022
06,73.32,943816
07,73.24,1116032
08,73.6,1142599
09,75.36,1151611
10,78.4,1237996
11,80.56,1350178
12,82.6,1488262
13,84.28,1619503
14,85.68,1719360
15,85.96,1776919
16,84.64,1802622
17,83.36,1822827
18,83.36,1846864
19,81.36,1806158
20,79.4,1734996
21,77.8,1694666
22,76.6,1553563
23,76.2,1372230
24,75.4,1180677
01,75.2,1033290
02,74.4,944922
03,73.96,891887
04,73.8,863672
05,73.84,857407
06,73.92,934377
07,74.04,1098977
08,74.36,1134211
09,76.64,1147829
10,79.76,1225445
11,81.84,1349297
12,83.32,1484115
13,84.76,1609053
14,84.72,1698735
15,83.84,1714596
16,81.4,1631801
17,79.68,1556627
18,79.16,1514134
19,77.84,1470443
20,77.16,1409317
21,76.88,1389130
22,76.48,1323635
23,76.44,1214794
24,75.92,1097577
01,75.64,979603
02,75.72,907615
03,75.08,861283
04,75.12,834815
05,74.92,822376
06,74.76,839987
07,74.6,887085
08,75,960279
09,76.92,1117961
10,79.32,1299104
11,81.32,1458666
12,81.92,1587999
13,83,1689367
14,83.12,1745616
15,83.64,1773410
16,83,1783656
17,82.12,1757535
18,80.96,1692742
19,79.92,1607158
20,78.88,1538053
21,77.92,1526253
22,77.52,1435155
23,77.16,1310917
24,76.84,1178548
01,76.56,1042215
02,76.2,965084
03,75.64,909073
04,75.44,881672
05,75.56,873543
06,75.44,887096
07,75.28,931340
08,75.68,1001493
09,77.48,1150234
10,80.04,1320783
11,82.36,1471691
12,84.2,1636870
13,85.4,1792301
14,86.48,1913476
15,86.72,1974413
16,87.2,1938679
17,86.12,1941052
18,84.32,1973585
19,82.44,1911787
20,80.28,1766543
21,79.52,1717077
22,78.84,1582283
23,78.24,1419204
24,77.68,1256354
01,77.2,1111263
02,76.52,1015044
03,76.24,960608
04,75.96,925013
05,75.76,910677
06,75.72,920118
07,75.56,951092
08,75.68,1006410
09,77.04,1130935
10,79.72,1320037
11,81.92,1502654
12,83.92,1664582
13,85.32,1803252
14,86.32,1906274
15,86.24,1968561
16,86.52,2004932
17,86.6,1998814
18,85.72,1998585
19,84.16,2017909
20,81.76,1933927
21,80.08,1889864
22,78.84,1719291
23,78.28,1491193
24,77.24,1281376
01,76.68,1118118
02,75.96,1008155
03,75.4,951252
04,74.92,910579
05,74.76,901707
06,74.6,968194
07,74.2,1128973
08,74.76,1162547
09,76.76,1185784
10,80.12,1293186
11,82.64,1443393
12,84.72,1612521
13,86.24,1766693
14,87.24,1884882
15,88.08,1976781
16,88.12,1984286
17,87.2,1994259
18,86.52,2011877
19,84.52,2041102
20,82,1990432
21,80.28,1935293
22,79.28,1740213
23,78.28,1511021
24,76.76,1287535
01,75.96,1116506
02,75.52,1017790
03,74.84,955868
04,74.44,921957
05,74.24,913293
06,74.28,975588
07,73.92,1132387
08,74.28,1154870
09,77.12,1175357
10,80.84,1297531
11,83.24,1466168
12,85.6,1640590
13,87.28,1796406
14,87.16,1915370
15,86.92,1999392
16,86.48,1993022
17,85.2,2056546
18,83.96,2038318
19,83.04,1967285
20,80.84,1856390
21,79.4,1811815
22,79,1655749
23,78.28,1472310
24,77.76,1276731
01,77.56,1133682
02,76.96,1052250
03,76.32,1004224
04,76.08,974841
05,76.2,974447
06,76,1048455
07,75.84,1214570
08,76.6,1247126
09,78.16,1244104
10,80.56,1300107
11,82.84,1403241
12,83.88,1524879
13,84.92,1644325
14,85.96,1732011
15,86.8,1761398
16,85.64,1788655
17,83.52,1810509
18,82.24,1815716
19,81.28,1779242
20,79.28,1715253
21,78.2,1690520
22,77,1557801
23,76.48,1372884
24,76.12,1184068
01,75.64,1037720
02,75.2,952773
03,75.04,900761
04,74.52,875660
05,74.16,873718
06,74.04,944757
07,74.04,1112849
08,75.04,1146690
09,78.36,1182221
10,81.28,1320753
11,83.52,1477101
12,85.48,1624567
13,87.2,1758519
14,87.96,1878259
15,88.2,1964369
16,88.24,2038949
17,86.96,2077638
18,86,2044530
19,83.56,1929390
20,81.2,1793963
21,79.76,1729628
22,79.12,1586725
23,78.16,1426893
24,77.72,1264418
01,76.92,1108192
02,76.48,1012760
03,76.36,947098
04,75.88,912321
05,75.8,895892
06,75.6,901040
07,75.4,938098
08,75.72,999199
09,78.44,1152303
10,81.92,1347879
11,83.76,1541618
12,85.4,1691013
13,86.68,1825594
14,87.84,1929985
15,88.36,2000405
16,88.04,2035058
17,87.08,2038790
18,85.8,2018972
19,83.68,1905358
20,81.64,1783469
21,80.12,1729278
22,79.2,1588113
23,78.04,1424955
24,77.24,1259467
01,76.76,1110969
02,76.32,1012384
03,75.8,950069
04,75.16,904447
05,74.84,883292
06,74.76,878614
07,74.4,902923
08,75.08,964574
09,78.16,1141598
10,81.2,1356151
11,83.52,1534970
12,85.64,1683341
13,86.4,1833918
14,87.08,1955313
15,87.92,2027005
16,87.28,2058529
17,86.44,2066117
18,85.48,2055891
19,83.68,1980525
20,81.56,1862034
21,80.12,1842551
22,78.44,1670736
23,77.8,1444338
24,77.16,1232562
01,76.56,1072224
02,75.84,976570
03,75.16,925634
04,74.8,894652
05,74.52,893671
06,74.32,961463
07,74.16,1121066
08,74.76,1149023
09,77.24,1178728
10,80.76,1313155
11,83.48,1469784
12,85.08,1628687
13,87.08,1783491
14,87.52,1925496
15,87.88,2012782
16,88.8,2026061
17,88.36,2037792
18,87.44,2050052
19,85.4,2054615
20,81.88,2004736
21,79.64,1951009
22,78.4,1751947
23,77.24,1510844
24,75.72,1284751
01,75.12,1111319
02,74.16,1008325
03,73.76,941141
04,73.2,901732
05,72.8,891470
06,72.08,951707
07,71.84,1111265
08,72.48,1125493
09,76.52,1145553
10,81.36,1273857
11,84.52,1457309
12,86.96,1653059
13,88.44,1822324
14,89.08,1949641
15,89.04,2022626
16,89.4,1999848
17,88.76,2012554
18,87.24,2001431
19,84.56,2008855
20,81.92,1937946
21,80.68,1898069
22,79.16,1717103
23,77.92,1497980
24,77.48,1295488
01,76.96,1135376
02,76.36,1048510
03,76.08,995932
04,75.68,965723
05,75.28,961924
06,75.16,1031377
07,74.96,1199735
08,74.52,1230419
09,75.88,1201207
10,77.64,1226229
11,79.8,1287887
12,80.8,1362977
13,82.44,1451481
14,83.84,1534730
15,84.28,1625965
16,83.56,1701598
17,83.36,1763823
18,82.4,1795732
19,80.56,1763912
20,78.64,1692166
21,77,1666207
22,76.16,1523454
23,75.16,1324067
24,74.44,1134590
01,73.84,989674
02,73.52,901671
03,72.96,856963
04,72.64,830378
05,72.48,832113
06,72.44,904988
07,72.08,1082278
08,72.44,1107852
09,74.52,1106231
10,77.76,1187171
11,80.44,1304706
12,82.92,1441232
13,83.96,1589689
14,84.4,1683491
15,84.2,1697936
16,83.28,1668601
17,81.2,1649800
18,79.68,1638260
19,78.4,1593915
20,76.68,1553815
21,75.4,1542269
22,75.04,1420102
23,75.12,1255817
24,75.04,1088002
01,75.12,955137
02,75.28,881990
03,75.28,846910
04,75.08,828289
05,75.64,835874
06,75.6,923171
07,75.64,1108861
08,76.04,1152006
09,77.4,1153248
10,79.48,1225567
11,80.8,1307664
12,82.36,1395242
13,83.16,1491967
14,82.96,1566540
15,84.32,1645210
16,83.88,1700259
17,83.4,1745185
18,82.56,1751165
19,81.28,1686723
20,79.2,1612025
21,78.44,1564462
22,77.76,1438009
23,77.28,1305236
24,76.96,1165566
01,76.8,1034418
02,76.72,954891
03,76.8,907176
04,76.72,885559
05,77.12,884096
06,77.04,908069
07,76.92,966695
08,77.24,1051637
09,78.8,1180564
10,81.04,1352975
11,82.92,1500804
12,84.56,1622888
13,85.44,1713322
14,85.76,1783825
15,85.56,1814675
16,84.2,1790840
17,81.88,1732628
18,81.04,1668358
19,79.16,1577801
20,77.4,1489940
21,76.44,1411783
22,76.04,1313503
23,75.52,1198541
24,75.48,1082123
01,75.36,964846
02,75.52,888915
03,75.4,844277
04,75.48,822582
05,75.68,813582
06,75.8,824946
07,75.8,867396
08,76.04,950367
09,78.68,1120383
10,81.2,1334307
11,83.08,1514606
12,85.04,1673496
13,86.24,1833843
14,86.92,1953890
15,87.76,2025440
16,87.08,2040452
17,86.44,2027130
18,84.96,1997421
19,82.92,1918723
20,81.24,1838796
21,80.12,1808537
22,79.56,1628215
23,78.48,1427591
24,77.84,1235030
01,77.56,1078524
02,76.76,986849
03,76.52,930857
04,75.96,901890
05,75.72,898790
06,75.12,967129
07,74.8,1129578
08,75.24,1163465
09,78.24,1189868
10,81.6,1327479
11,83.72,1493541
12,85.92,1677246
13,87.12,1844925
14,88.72,1975211
15,88.64,2036555
16,89,2023766
17,87.84,2028401
18,87.56,2013959
19,84.28,2047129
20,81.68,1999815
21,80.36,1944845
22,79.8,1748329
23,78.84,1531354
24,78.12,1318185
01,77.32,1157619
02,76.56,1056933
03,76.2,996577
04,75.64,957827
05,74.96,948056
06,74.52,1004519
07,74.12,1164971
08,74.4,1184374
09,77.68,1191764
10,82,1323322
11,84.88,1508307
12,86.76,1705858
13,87.64,1873855
14,89.2,2002365
15,89.88,2078012
16,89.4,2036269
17,89.08,2085539
18,87.24,2095059
19,85.04,2085026
20,82.04,2050470
21,80.76,1986799
22,79.68,1788420
23,78.92,1551987
24,78,1329251
01,77.32,1158679
02,76.52,1059456
03,75.84,995760
04,74.92,958278
05,74.44,946196
06,74.32,1006954
07,73.92,1167460
08,74.64,1190509
09,77.76,1195510
10,81.76,1322377
11,84.6,1501371
12,86.8,1701338
13,88.12,1879834
14,89.12,2017152
15,89.68,2106534
16,89.4,2076025
17,88.92,2098641
18,88.12,2115524
19,85.56,2132751
20,82.96,2073473
21,81.64,2001351
22,81,1815171
23,79.88,1585385
24,78.92,1357141
01,78,1188102
02,77.12,1081565
03,76.72,1013964
04,75.92,975747
05,75.52,966379
06,75.52,1026716
07,75.16,1184733
08,75.36,1207152
09,78.68,1218122
10,82.04,1354154
11,84.6,1525796
12,86.44,1718278
13,88.16,1885777
14,88.92,2014230
15,89.28,2109872
16,89.4,2076549
17,88.76,2087492
18,87.52,2093111
19,84.4,2113980
20,82.16,2041254
21,81,1961132
22,80.28,1777243
23,79.88,1563047
24,79.36,1347279
01,78.64,1181876
02,77.88,1090062
03,77.36,1030362
04,77,996528
05,76.68,987237
06,76.24,1054347
07,75.92,1213813
08,76.28,1244195
09,79.44,1268788
10,82.6,1404815
11,84.6,1571377
12,86.16,1715187
13,87.08,1848583
14,87.6,1951096
15,86.96,1993074
16,85.6,1995636
17,84.68,1959297
18,83.08,1924677
19,81.92,1839112
20,80.44,1752936
21,79.84,1703722
22,79.52,1563577
23,78.92,1419629
24,78.8,1264659
01,78.12,1123940
02,77.76,1030081
03,77.24,968280
04,76.36,931184
05,75.92,916677
06,75.44,925912
07,75.12,967922
08,75.48,1033098
09,78.68,1187264
10,82.56,1405741
11,84.2,1605482
12,86.28,1784281
13,87.28,1932733
14,87.92,2032002
15,88.24,2089268
16,88.6,2115543
17,87.6,2108586
18,86.04,2051863
19,83.88,1939290
20,81.56,1833767
21,79.92,1755291
22,78.8,1605876
23,77.96,1434973
24,76.96,1264557
01,76.28,1106811
02,75.76,999174
03,75.08,923453
04,74.32,878411
05,74.16,853208
06,74.16,851249
07,73.92,881403
08,74.12,937853
09,77.92,1110486
10,81.52,1331508
11,83.68,1526440
12,85.08,1694409
13,86.4,1857469
14,87.56,1978879
15,88.28,2049342
16,87.96,2087974
17,87.16,2089890
18,84.8,2057779
19,82.84,1953627
20,80.12,1860112
21,78.96,1804330
22,78.12,1607692
23,77.2,1404033
24,76.24,1203036
01,75.56,1041882
02,75.04,945546
03,74.44,889724
04,73.92,858165
05,73.6,850334
06,73.4,927077
07,73,1084684
08,73.76,1120348
09,77.04,1140597
10,80.6,1249032
11,82.88,1421247
12,84.64,1595259
13,84.56,1741946
14,85.84,1846787
15,85.6,1909290
16,85.8,1945880
17,85.08,1944757
18,83.96,1916146
19,82.4,1859416
20,80.8,1822796
21,79.52,1778352
22,78.84,1604937
23,78.12,1407381
24,77.12,1222942
01,76.32,1079334
02,76.04,992386
03,76,949300
04,75.76,926590
05,75.92,928567
06,75.84,1003375
07,75.36,1172745
08,75.28,1204582
09,76.2,1186612
10,78.12,1256444
11,80.16,1354530
12,81.76,1449038
13,82.6,1529601
14,82.56,1587519
15,82.4,1631124
16,81.64,1663669
17,80.4,1639591
18,79.04,1602324
19,77.64,1571402
20,76.64,1580495
21,76.04,1534732
22,76.12,1421785
23,75.92,1264838
24,75.8,1102196
01,76.04,993615
02,75.52,928236
03,75.44,888698
04,75.48,871380
05,75.44,880283
06,75.4,964843
07,75.44,1146976
08,75.76,1192587
09,77.44,1180062
10,80.08,1266443
11,81.8,1392305
12,83.64,1524793
13,84.64,1650305
14,85.84,1740215
15,86.08,1796808
16,84.8,1843467
17,84.96,1854721
18,82.44,1830479
19,81.2,1782978
20,79.8,1751151
21,79.12,1692128
22,79,1544190
23,78.64,1372519
24,78.24,1204093
01,78.04,1073934
02,78.56,1016332
03,78.84,987398
04,79,974691
05,78.92,990074
06,78.92,1075322
07,78.68,1246870
08,78.56,1286542
09,80.12,1270630
10,82.12,1347678
11,83.64,1462040
12,85.28,1582404
13,86.44,1702908
14,86.76,1788119
15,86.24,1832189
16,85.16,1833921
